単語,出現事例数
部,2321
練習,2068
当たる,1707
負傷,1632
ボール,1623
眼,1471
れる,1338
転倒,1254
顔面,1039
試合,965
相手,907
体育,891
場,886
打つ,834
時間,822
強打,810
運動,809
残る,797
前歯,750
しまう,717
走る,704
野球,702
くる,697
友人,691
足,667
手,633
倒れる,612
教室,580
強い,577
体育館,562
遊ぶ,545
ぶつかる,534
バランス,533
崩す,516
歯,498
口,490
直撃,488
床,463
サッカー,463
人,451
顔,451
休憩,433
地面,429
ぶつける,422
救急,416
搬送,413
投げる,402
蹴る,399
本,397
自転車,393
滑る,388
骨折,387
頭部,373
治療,372
廊下,366
膝,358
頭,355
打球,352
右手,347
障害,341
手術,335
室,323
取る,321
行く,318
入る,306
持つ,304
切る,303
落ちる,299
状態,294
つく,291
られる,286
出る,286
瘢痕,285
落下,281
下校,281
バッティング,279
受診,279
飛ぶ,274
バスケットボール,273
終了,271
選手,271
車,268
左手,265
額,262
病院,261
部分,259
近く,254
指,254
ガラス,254
性,252
頬,249
せる,248
肘,246
付近,244
外,241
かける,241
残存,241
衝突,239
接触,239
球,235
負う,234
登校,234
体,231
意識,227
顎,224
機能,222
歩く,221
準備,218
ふざける,217
目,215
加える,212
失う,212
前方,211
バット,208
歯科,204
後ろ,203
ｍ,202
補綴,201
向かう,196
乗る,196
階段,194
折,194
外傷,193
割れる,192
鬼ごっこ,191
出血,191
チーム,190
ノック,189
状,186
途中,183
保育,182
横,181
ネット,179
内,179
破る,179
角,178
折れる,176
ソフトボール,175
校庭,175
かかる,175
大会,174
転落,174
昼食,173
捕る,173
守備,173
道路,172
後方,172
間,172
押す,171
痛み,170
側,169
戻る,169
移動,169
つまずく,169
追いかける,169
打撲,168
窓,166
誤る,165
見る,165
線,165
振る,163
視力,163
打ちつける,162
転ぶ,159
痕,158
着地,157
マット,155
グラウンド,153
ゴール,152
児,151
シュート,149
座る,148
挟む,148
勢い,147
前額,146
右足,146
痛める,146
遊び,144
背中,143
友達,143
切れる,141
立つ,140
打ち付ける,138
ドア,138
首,137
関節,137
昼休み,136
ゲーム,135
バッター,134
階,134
出す,133
先,131
脱臼,131
部員,127
隣,127
腰,127
気付く,126
おる,125
コンクリート,124
壁,124
さ,123
使う,123
来る,123
ほお,122
腕,122
柔道,121
左足,121
拾う,121
減退,121
急,120
清掃,120
朝,119
バレーボール,118
ろ,117
バドミントン,117
大腿,116
両手,116
逃げる,115
ピッチャー,115
離れる,115
骨,115
抜ける,115
小指,115
トイレ,114
参加,114
クラス,113
入れる,113
競技,112
体操,112
散る,112
指導,111
鼻,111
左側,111
うし,111
きれる,111
瞳,111
終わる,110
特定,110
シャトル,109
机,109
男子,108
他校,108
損傷,108
置く,108
名,107
園,107
眼球,107
回,106
後頭部,106
高い,106
祭,106
教員,106
疼痛,106
跳ね返る,105
等,104
欠損,104
ない,103
力,102
プール,102
前のめり,102
校舎,102
的,102
挫創,102
降りる,101
左腕,101
耳,100
台,100
使用,100
一緒,100
AED,100
訴える,99
上がる,99
形,99
いく,98
コート,98
別,98
肩,97
股間,97
切断,97
当たり,96
鉄棒,96
会,96
心肺,96
作業,95
思う,94
跳ぶ,94
身体,94
上げる,94
腹部,94
低下,93
形式,92
脳,92
麻痺,92
入院,91
口元,91
視野,91
学習,90
回転,90
右側,89
支柱,89
追う,89
醜状,88
給食,87
とる,87
右腕,87
殴る,86
そう,86
用,86
底,86
方向,85
動,85
段差,84
昇降,84
合う,84
後日,84
唇,84
裂傷,84
視,84
細,84
終える,83
避ける,82
打者,82
組,81
除,81
パス,80
技,80
庭,80
転,80
外れる,80
ジャンプ,79
距離,79
始業,79
担任,78
調節,78
振り向く,77
ランニング,76
実習,76
前腕,76
複,76
陸上,75
声,75
激突,75
学級,75
植込み,75
段,74
水泳,74
閉める,74
テニス,73
様子,73
悪い,73
辺り,73
板,73
帰宅,72
者,72
待つ,72
棒,72
打撃,72
感覚,72
圧迫,72
中指,72
キャッチボール,71
送球,71
支える,71
扉,71
保健,71
下り坂,71
離す,70
ラケット,70
分,70
放課後,70
瞬間,69
激しい,69
始める,69
水,69
一部,69
器,69
口唇,68
直接,68
感じる,68
ゴールキーパー,68
ハンドル,68
つかむ,68
バウンド,68
ラグビー,68
ごと,67
出場,67
受傷,67
場所,67
失敗,67
確認,67
