単語,出現事例数
前歯,721
顔面,489
部,485
練習,462
歯,444
当たる,410
ボール,402
転倒,398
負傷,373
口,359
強打,302
試合,237
自転車,216
本,215
相手,211
野球,205
打つ,202
加える,197
歯科,197
補綴,195
床,189
顔,183
れる,180
折,176
破る,175
体育,169
しまう,159
場,157
折れる,152
くる,149
足,142
運動,140
強い,131
ぶつける,125
ぶつかる,125
時間,124
バランス,124
手,123
友人,121
崩す,120
走る,115
バット,113
滑る,112
下校,108
地面,101
体育館,100
ノック,100
直撃,99
教室,95
登校,90
脱臼,89
倒れる,87
前方,87
人,86
打球,85
口元,85
守備,79
取る,78
抜ける,77
顎,76
飛ぶ,76
廊下,76
遊ぶ,75
道路,75
頭,74
選手,72
バスケットボール,71
接触,68
ソフトボール,68
衝突,66
捕る,65
振る,63
サッカー,62
休憩,60
行く,59
打ちつける,58
唇,56
投げる,55
落ちる,55
欠損,55
球,53
持つ,52
バッター,52
肘,50
膝,49
つく,49
出る,49
チーム,49
口唇,49
出血,49
バッティング,48
頭部,48
終了,47
イレギュラー,46
つまずく,44
体,43
階段,43
られる,43
近く,43
向かう,42
歩く,42
途中,42
ふざける,42
前輪,42
せる,41
状態,41
追いかける,41
前のめり,41
後方,40
勢い,39
後ろ,39
折る,39
乗る,39
付近,38
かける,38
横,38
打ち付ける,38
転ぶ,36
下り坂,36
ゲーム,35
イレギュラーバウンド,35
部分,34
歯牙,34
立つ,33
入る,33
シュート,33
来る,33
治療,33
ネット,32
ハンドル,31
切れる,31
バレーボール,31
準備,31
グラウンド,31
段差,31
友達,30
目,30
切る,30
欠ける,30
避ける,29
打撲,29
移動,29
蹴る,29
離れる,29
部員,29
ブレーキ,29
落下,29
車,28
内,28
見る,28
ゴール,28
上顎,27
素振り,27
キャッチャー,27
損傷,27
コンクリート,26
誤る,26
側,26
祭,26
大会,26
他校,26
フライ,26
押す,26
救急,26
鬼ごっこ,25
転落,25
隣,25
ごと,25
走行,25
壁,25
タイヤ,25
終わる,24
追う,24
気付く,24
階,24
ｍ,24
激突,24
バウンド,24
負う,24
両手,24
室,24
歩道,24
搬送,24
清掃,23
ラケット,23
外,23
ディフェンス,23
ピッチャー,23
いく,23
拾う,23
おる,23
肩,22
降りる,22
戻る,22
的,22
形式,22
路面,22
参加,22
鼻,21
きれる,21
昼食,21
スピード,21
失う,21
上がる,21
当たり,21
とる,21
先,21
クラス,20
朝,20
急,20
外れる,20
机,20
別,20
雨,20
スティック,20
競技,20
支柱,20
意識,20
校舎,19
ゴールキーパー,19
間,19
そう,19
額,19
出す,19
着地,19
守る,19
校庭,19
棒,19
受診,18
かかる,18
骨折,18
打者,18
坂道,18
損ねる,18
方向,18
口腔,18
指導,18
引っ掛かる,18
側溝,17
瞬間,17
振り向く,17
一緒,17
上唇,17
抜け落ちる,17
曲がる,17
正面,17
送球,17
レシーブ,17
うし,17
ろ,17
腕,17
特定,17
上下,17
コート,17
昼休み,17
ジャンプ,16
脱落,16
つかむ,16
傘,16
次,16
キャッチ,16
ホッケー,16
終える,16
跳ね返る,16
鉄棒,16
使う,16
男子,16
止まる,16
下る,16
打撃,16
マット,15
プール,15
支える,15
高い,15
ランニング,15
バッターボックス,15
向く,15
裂傷,15
柔道,15
靴,15
絡まる,15
背中,15
入れる,15
激しい,15
振り返る,15
直接,15
バント,15
濡れる,15
場所,14
左側,14
上げる,14
学級,14
テニス,14
転がる,14
ひっかかる,14
殴る,14
外野,14
思う,14
座る,14
角,14
ショート,14
カーブ,14
回転,14
かけっこ,13
逃げる,13
遊び,13
離す,13
待つ,13
パス,13
破損,13
ドリブル,13
サード,13
車輪,13
通る,13
シート,13
縁石,13
セカンド,13
受傷,13
トイレ,13
名,13
辺り,13
ドッジボール,13
道,12
合う,12
引っ張る,12
声,12
陸上,12
置く,12
キャッチボール,12
塁,12
硬式,12
ペダル,12
給食,12
ティー,12
バドミントン,12
バック,12
対,12
後頭部,12
教師,12
帰宅,12
雑巾,11
溝,11
石,11
技,11
会,11
スキー,11
トス,11
アスファルト,11
降る,11
応援,11
失敗,11
衝撃,11
止める,11
引っかかる,11
乗り上げる,11
投げ出す,11
金属,11
フェンス,11
痛める,11
あたり,11
脇,11
余る,11
学習,11
突っ込む,11
担任,11
抜く,11
気,11
骨,11
学年,11
歩行,11
スリップ,11
ガードレール,10
路,10
椅子,10
チームメイト,10
順番,10
悪い,10
体勢,10
踏み外す,10
操作,10
放課後,10
跳ぶ,10
部室,10
面,10
振り回す,10
飛ばす,10
実習,10
飛び出す,10
形,10
リレー,10
すべる,10
さ,9
台,9
着く,9
荷物,9
通学,9
向ける,9
掃除,9
滑走,9
等,9
始める,9
窓,9
起こす,9
構える,9
部活,9
ラグビー,9
輪,9
下りる,9
右足,9
気分,9
坂,9
バー,9
立ち上がる,9
やる,9
打席,9
遠足,9
確認,9
板,9
ヘディング,9
取り合い,9
出場,9
近づく,9
水泳,9
クラブ,9
周辺,9
倒す,9
低い,9
車道,9
遊具,9
斜め,9
渡り廊下,9
当日,9
がけ,8
登る,8
直後,8
回,8
あう,8
こむ,8
入ろう,8
待機,8
味方,8
ない,8
渡す,8
身体,8
遠征,8
歯肉,8
通常,8
内側,8
体操,8
種目,8
シャトル,8
並ぶ,8
回す,8
ブロック,8
ひも,8
段,8
戦,8
発作,8
ゴロ,8
教員,8
うまい,8
中央,8
ポスト,8
手すり,8
用,8
走者,8
片付け,8
右手,8
トレーニング,8
交差点,8
ロック,8
歯槽,8
帰る,8
席,8
者,8
始業,8
徒歩,7
首,7
歯根,7
サイド,7
合宿,7
組,7
始まる,7
急ぐ,7
反動,7
昇降,7
ファースト,7
ランナー,7
完全,7
滑り,7
自宅,7
先端,7
踊り場,7
ベース,7
スイング,7
走り出す,7
崩れる,7
投手,7
馬,7
たち,7
水,7
落とす,7
損なう,7
鉄,7
挟まる,7
大きい,7
設置,7
運ぶ,7
左腕,7
位置,7
半分,7
左手,7
駐車,7
背後,7
しゃがむ,7
掛ける,7
反対,7
防,7
胸,7
運動会,7
つける,6
蓋,6
つま,6
づく,6
斜面,6
お互い,6
同級生,6
頬,6
起きる,6
放す,6
先頭,6
引く,6
痛み,6
発見,6
脚,6
全員,6
口論,6
顧問,6
腰,6
同士,6
本人,6
球技,6
デッドボール,6
ぐらつく,6
端,6
返球,6
それる,6
ノッカー,6
校門,6
見える,6
戻す,6
気づく,6
遅れる,6
交流,6
ふらつく,6
保健,6
前進,6
ライト,6
分かれる,6
あたる,6
枠,6
もらう,6
足元,6
公園,6
話,6
怒る,6
位,6
砂利,6
言い争う,6
引っ掛ける,6
交錯,6
ライナー,6
性,6
跳ねる,6
下がる,6
自動車,6
下ろす,6
駅,6
渡る,6
ステージ,6
回る,6
寄る,6
友だち,6
みる,6
袋,6
立ち止まる,6
合同,6
オフェンス,6
ハンドボール,6
気が付く,6
見失う,6
自立,6
水筒,6
ヘルメット,6
一塁,6
川,6
動き,6
ブラシ,5
永久歯,5
寄宿舎,5
グループ,5
使用,5
グリップ,5
ける,5
プレー,5
