単語,総出現回数,出現事例数,事例出現率（％）,頻度順位
前歯,764,721,45.5464,1
部,551,485,30.638,2
練習,507,462,29.1851,3
ボール,506,402,25.3948,4
顔面,501,489,30.8907,5
歯,489,444,28.048,6
当たる,427,410,25.9002,7
転倒,409,398,25.1421,8
負傷,375,373,23.5629,9
口,366,359,22.6785,10
強打,303,302,19.0777,11
自転車,293,216,13.645,12
相手,267,211,13.3291,13
本,255,215,13.5818,14
試合,245,237,14.9716,15
野球,209,205,12.9501,16
打つ,207,202,12.7606,17
床,206,189,11.9394,18
れる,203,180,11.3708,19
加える,198,197,12.4447,20
歯科,197,197,12.4447,21
補綴,196,195,12.3184,22
しまう,192,159,10.0442,23
顔,189,183,11.5603,24
折,177,176,11.1181,25
破る,176,175,11.055,26
体育,172,169,10.6759,27
友人,171,121,7.6437,28
場,162,157,9.9179,29
くる,155,149,9.4125,30
折れる,154,152,9.602,31
足,153,142,8.9703,32
運動,144,140,8.844,33
バット,141,113,7.1383,34
手,135,123,7.7701,35
強い,134,131,8.2754,36
ぶつかる,129,125,7.8964,37
ぶつける,127,125,7.8964,38
バランス,126,124,7.8332,39
走る,125,115,7.2647,40
時間,125,124,7.8332,41
崩す,120,120,7.5805,42
滑る,118,112,7.0752,43
体育館,111,100,6.3171,44
下校,109,108,6.8225,45
ノック,108,100,6.3171,46
地面,106,101,6.3803,47
教室,104,95,6.0013,48
人,103,86,5.4327,49
直撃,100,99,6.2539,50
打球,97,85,5.3696,51
登校,93,90,5.6854,52
廊下,93,76,4.801,53
倒れる,92,87,5.4959,54
脱臼,89,89,5.6222,55
前方,87,87,5.4959,56
口元,86,85,5.3696,57
顎,85,76,4.801,58
取る,83,78,4.9274,59
道路,83,75,4.7378,60
守備,80,79,4.9905,61
選手,79,72,4.5483,62
抜ける,78,77,4.8642,63
頭,77,74,4.6747,64
遊ぶ,76,75,4.7378,65
飛ぶ,76,76,4.801,66
捕る,72,65,4.1061,67
バスケットボール,72,71,4.4852,68
接触,71,68,4.2956,69
ソフトボール,68,68,4.2956,70
衝突,66,66,4.1693,71
振る,66,63,3.9798,72
階段,64,43,2.7164,73
サッカー,64,62,3.9166,74
休憩,60,60,3.7903,75
行く,60,59,3.7271,76
バッター,59,52,3.2849,77
打ちつける,58,58,3.6639,78
投げる,58,55,3.4744,79
球,57,53,3.3481,80
落ちる,56,55,3.4744,81
唇,56,56,3.5376,82
持つ,55,52,3.2849,83
バッティング,55,48,3.0322,84
チーム,55,49,3.0954,85
欠損,55,55,3.4744,86
膝,53,49,3.0954,87
つく,52,49,3.0954,88
出る,51,49,3.0954,89
肘,51,50,3.1586,90
出血,51,49,3.0954,91
口唇,50,49,3.0954,92
頭部,48,48,3.0322,93
終了,47,47,2.969,94
歩く,46,42,2.6532,95
イレギュラー,46,46,2.9059,96
つまずく,45,44,2.7795,97
状態,45,41,2.59,98
乗る,45,39,2.4637,99
近く,44,43,2.7164,100
向かう,43,42,2.6532,101
体,43,43,2.7164,102
せる,43,41,2.59,103
られる,43,43,2.7164,104
前輪,43,42,2.6532,105
後ろ,42,39,2.4637,106
かける,42,38,2.4005,107
途中,42,42,2.6532,108
後方,42,40,2.5268,109
追いかける,42,41,2.59,110
ふざける,42,42,2.6532,111
ネット,42,32,2.0215,112
前のめり,41,41,2.59,113
横,41,38,2.4005,114
勢い,40,39,2.4637,115
付近,40,38,2.4005,116
折る,40,39,2.4637,117
目,39,30,1.8951,118
転ぶ,38,36,2.2742,119
打ち付ける,38,38,2.4005,120
シュート,37,33,2.0846,121
友達,36,30,1.8951,122
車,36,28,1.7688,123
下り坂,36,36,2.2742,124
ゲーム,36,35,2.211,125
ゴール,36,28,1.7688,126
部分,35,34,2.1478,127
立つ,35,33,2.0846,128
ハンドル,35,31,1.9583,129
階,35,24,1.5161,130
イレギュラーバウンド,35,35,2.211,131
治療,35,33,2.0846,132
部員,34,29,1.832,133
来る,34,33,2.0846,134
歯牙,34,34,2.1478,135
入る,33,33,2.0846,136
グラウンド,33,31,1.9583,137
棒,33,19,1.2003,138
離れる,32,29,1.832,139
段差,32,31,1.9583,140
切れる,31,31,1.9583,141
バレーボール,31,31,1.9583,142
蹴る,31,29,1.832,143
キャッチャー,31,27,1.7056,144
準備,31,31,1.9583,145
見る,31,28,1.7688,146
清掃,30,23,1.4529,147
