順位,品詞,基本形,出現回数,出現事例数
1,動詞,する,15485,6712
2,動詞,いる,7534,5314
3,名詞,中,4509,4291
4,名詞,際,3098,3015
5,名詞,部,2710,2321
6,名詞,生徒,3740,2296
7,名詞,練習,2372,2068
8,名詞,ところ,2038,1929
9,動詞,当たる,1787,1708
10,名詞,負傷,1636,1632
11,名詞,右,2081,1550
12,名詞,左,1943,1470
13,動詞,れる,1522,1340
14,名詞,ため,1449,1266
15,名詞,他,1383,1224
16,名詞,とき,1165,1108
17,名詞,活動,1134,1104
18,名詞,児童,1927,1055
19,動詞,なる,1181,1043
20,名詞,授業,1015,990
21,名詞,試合,1036,965
22,名詞,相手,1092,908
23,名詞,体育,914,891
24,名詞,場,918,886
25,動詞,打つ,871,835
26,名詞,時間,829,822
27,名詞,強打,817,810
28,名詞,運動,844,809
29,動詞,残る,819,797
30,名詞,後,860,788
31,名詞,時,798,753
32,動詞,受ける,785,749
33,動詞,しまう,846,717
34,名詞,野球,716,702
35,動詞,くる,729,697
36,名詞,友人,941,691
37,動詞,行う,732,601
38,名詞,前,628,588
39,名詞,教室,659,580
40,形容詞,強い,592,577
41,名詞,体育館,605,562
42,動詞,ある,605,551
43,動詞,遊ぶ,570,545
44,名詞,上,583,541
45,名詞,バランス,542,534
46,動詞,崩す,519,518
47,名詞,歯,544,498
48,名詞,口,508,490
49,名詞,直撃,490,488
50,名詞,サッカー,487,463
51,名詞,人,544,451
52,名詞,顔,477,451
53,名詞,休憩,437,433
54,動詞,ぶつける,427,422
55,名詞,救急,461,416
56,名詞,搬送,414,414
57,名詞,本,504,397
58,名詞,２,452,389
59,名詞,下,404,374
60,名詞,治療,380,372
61,名詞,廊下,433,366
62,名詞,よう,399,366
63,名詞,膝,410,358
64,名詞,頭,388,355
65,名詞,打球,379,352
66,名詞,右手,397,347
67,名詞,障害,406,341
68,名詞,手術,357,335
69,名詞,室,352,323
70,動詞,取る,334,321
71,動詞,行く,331,319
72,動詞,入る,325,306
73,名詞,こと,327,305
74,動詞,持つ,339,304
75,名詞,３,345,303
76,動詞,落ちる,314,300
77,名詞,１,377,296
78,名詞,状態,314,295
79,動詞,つく,303,291
80,動詞,られる,317,287
81,動詞,出る,295,286
82,名詞,瘢痕,286,284
83,名詞,下校,285,281
84,名詞,バッティング,317,279
85,名詞,受診,290,279
86,名詞,学校,284,278
87,動詞,飛ぶ,280,274
88,名詞,バスケットボール,278,273
89,名詞,選手,311,271
90,名詞,終了,273,271
91,名詞,左手,305,266
92,名詞,病院,273,263
93,名詞,額,278,262
94,名詞,部分,274,259
95,名詞,ガラス,440,254
96,名詞,近く,261,254
97,名詞,性,300,252
98,名詞,頬,271,249
99,動詞,せる,259,248
100,名詞,肘,292,246
101,名詞,付近,249,245
102,名詞,外,253,241
103,動詞,かける,250,241
104,名詞,残存,241,241
105,名詞,登校,248,234
106,動詞,負う,235,234
107,名詞,体,241,231
108,名詞,意識,243,227
109,名詞,機能,251,222
110,名詞,準備,225,218
111,名詞,2,253,217
112,動詞,ふざける,222,217
113,名詞,自分,225,216
114,動詞,失う,216,212
115,動詞,加える,213,212
116,名詞,前方,214,211
117,名詞,歯科,204,204
118,名詞,後ろ,216,203
119,名詞,折,204,203
120,名詞,ｍ,234,202
121,名詞,補綴,202,201
122,動詞,向かう,198,196
123,名詞,外傷,224,193
124,動詞,割れる,200,192
125,名詞,出血,200,191
