単語,歯牙出現事例数,歯牙事例出現率（％）,非歯牙出現事例数,非歯牙事例出現率（％）,出現率差（pt）,オッズ比,OR_95%CI下限,OR_95%CI上限,p値,p値下限丸め,0.5補正,BH補正p値,BH有意（5%）
前歯,721,45.5464,29,0.4755,45.0709,175.07280582446595,119.96481120670212,255.49564935704092,5e-324,True,False,1.239e-320,True
歯,444,28.048,54,0.8854,27.1626,43.63769388352356,32.66933316174981,58.288558203620084,1.3562352264450424e-260,False,False,1.700718973962083e-257,True
眼,4,0.2527,1467,24.0531,-23.8004,0.007998642717362727,0.002992999168349634,0.02137597831518878,4.9508080897252676e-157,False,False,4.1388755630103235e-154,True
口,359,22.6785,131,2.1479,20.5306,13.361971760714464,10.838541598901811,16.472907143911417,9.401900889981172e-151,False,False,5.894991858018195e-148,True
歯科,197,12.4447,7,0.1148,12.33,123.69861884147599,58.07514583454224,263.4749871637472,1.6990799569608e-128,False,False,8.178488467486988e-126,True
補綴,195,12.3184,6,0.0984,12.22,142.66750720461096,63.183572157751854,322.14097615689377,1.9565761883940161e-128,False,False,8.178488467486988e-126,True
加える,197,12.4447,15,0.2459,12.1988,57.65021645021645,33.99385348149659,97.76907047522194,4.573575805256623e-119,False,False,1.63864687422623e-116,True
破る,175,11.055,4,0.0656,10.9894,189.3865411931818,70.17277932416172,511.1278522891146,5.456214262444538e-117,False,False,1.7105231712763628e-114,True
折,176,11.1181,18,0.2951,10.823,42.259180289031036,25.928500542954644,68.87549535470852,1.440382043678198e-101,False,False,4.013864628383245e-99,True
顔面,489,30.8907,550,9.0179,21.8728,4.509657636696028,3.9283485799275635,5.1769876288793615,1.1671221797143192e-96,False,False,2.9271424267235124e-94,True
折れる,152,9.602,24,0.3935,9.2085,26.88679245283019,17.41423949650599,41.51198268213834,2.1372826679439056e-80,False,False,4.873004482912105e-78,True
残る,3,0.1895,794,13.0185,-12.829,0.01268612696489494,0.004077059138534007,0.039473996304920704,4.2486233658191683e-79,False,False,8.879622834562063e-77,True
自転車,216,13.645,177,2.9021,10.7429,5.286647737839882,4.297120549656829,6.50404008475851,7.535619817515582e-54,False,False,1.4537949617176216e-51,True
本,215,13.5818,182,2.9841,10.5977,5.109548711522396,4.1583496792926224,6.278329156739248,4.004497083727207e-52,False,False,7.1737704899913115e-50,True
口元,85,5.3696,6,0.0984,5.2712,57.621829105473964,25.1296370252866,132.1258713812472,1.4276395489658863e-51,False,False,2.387013325870962e-49,True
手術,0,0.0,335,5.4927,-5.4927,0.00542526623991733,0.0003384382370366681,0.08696864169871486,5.410432351207279e-35,False,True,8.48085271051741e-33,True
障害,1,0.0632,340,5.5747,-5.5115,0.010706849111325946,0.0015026272610792783,0.07629078804970045,1.1250231531117485e-33,False,False,1.659740040002509e-31,True
脱臼,89,5.6222,42,0.6886,4.9336,8.591078600114745,5.926662104673047,12.453321989649892,4.794058320646698e-32,False,False,6.679721260101066e-30,True
強打,302,19.0777,508,8.3292,10.7485,2.594678738928126,2.2225257626890977,3.0291472302665126,3.8975376213779536e-31,False,False,5.144749660218898e-29,True
瘢痕,1,0.0632,284,4.6565,-4.5933,0.012942700450490554,0.0018153854747720412,0.09227433913018569,1.1860534878329135e-27,False,False,1.4873110737424735e-25,True
バット,113,7.1383,95,1.5576,5.5807,4.858231292517007,3.6764573599483996,6.419878970641112,1.6225874594748398e-27,False,False,1.9378330230299516e-25,True
抜ける,77,4.8642,38,0.6231,4.2411,8.155046480743692,5.506843741148156,12.076751444053881,3.296094526651639e-27,False,False,3.757547760382868e-25,True
右手,8,0.5054,339,5.5583,-5.0529,0.08630425621576064,0.042716006626599946,0.17437080919257575,7.060921758831805e-25,False,False,7.69947468310877e-23,True
ガラス,1,0.0632,253,4.1482,-4.085,0.014606017299360893,0.002047825488456965,0.104176719428362,1.2558976326274752e-24,False,False,1.259916505051883e-22,True
指,1,0.0632,253,4.1482,-4.085,0.014606017299360893,0.002047825488456965,0.104176719428362,1.2558976326274752e-24,False,False,1.259916505051883e-22,True
床,189,11.9394,274,4.4925,7.4468,2.88233461445821,2.3732894747863904,3.50056447726492,1.4860774702818985e-24,False,False,1.4334931905642314e-22,True
転倒,398,25.1421,856,14.0351,11.107,2.057172995780591,1.7981204522621455,2.3535468545751903,1.9563787197768524e-24,False,False,1.8172584552593875e-22,True
折る,39,2.4637,3,0.0492,2.4145,51.32642487046632,15.840266269848962,166.31045495731695,7.201342040787553e-24,False,False,6.45034494224828e-22,True
顔,183,11.5603,268,4.3942,7.1662,2.844011194029851,2.335946877562657,3.462578601190875,1.9348600622268083e-23,False,False,1.6733203572637362e-21,True
ノック,100,6.3171,89,1.4593,4.8579,4.553478751695243,3.4030445989956526,6.092828976810761,2.82967951884457e-23,False,False,2.3656120777540606e-21,True
残存,1,0.0632,240,3.9351,-3.8719,0.01543141592920354,0.0021630978755760202,0.11008683438176112,3.534376749495158e-23,False,False,2.859424802494792e-21,True
イレギュラー,46,2.9059,10,0.164,2.7419,18.223422251138583,9.175680670658302,36.19275021255366,6.52897031867971e-23,False,False,5.117080487265223e-21,True
歯牙,34,2.1478,2,0.0328,2.115,66.91349257585539,16.057903294556805,278.82939675049437,1.452210332632556e-21,False,False,1.1036798528007425e-19,True
機能,1,0.0632,221,3.6235,-3.5604,0.016812443152890835,0.0023558594994130427,0.11998094319275393,2.2022445408292046e-21,False,False,1.624479208352837e-19,True
病院,4,0.2527,257,4.2138,-3.9611,0.05758459153825871,0.021415063672847616,0.15484358268952847,4.1674062921863955e-21,False,False,2.9862442802295654e-19,True
唇,56,3.5376,28,0.4591,3.0785,7.951538965291421,5.034209808678742,12.559463017919409,5.792127816579817e-20,False,False,4.035182378883939e-18,True
口唇,49,3.0954,19,0.3115,2.7839,10.221642764015645,6.00053303519447,17.41211658736701,6.948615385388889e-20,False,False,4.710034428798739e-18,True
骨折,18,1.1371,369,6.0502,-4.9131,0.17860204161147042,0.11091440783460382,0.28759734547159016,7.61248153256283e-20,False,False,5.024237811491468e-18,True
状,0,0.0,186,3.0497,-3.0497,0.010011927628332053,0.0006235361227370789,0.16075844073788395,1.6896432648788577e-19,False,True,1.0865705918759424e-17,True
イレギュラーバウンド,35,2.211,6,0.0984,2.1126,22.960271317829456,9.64008264110844,54.685636899034506,8.737049989628706e-19,False,False,5.4781303434971984e-17,True
左手,7,0.4422,258,4.2302,-3.788,0.10055630976271987,0.04736419195621392,0.21348556822089917,2.7641013554250827e-18,False,False,1.690821024245392e-16,True
性,6,0.379,246,4.0334,-3.6544,0.09052384119275562,0.04019892779288326,0.2038503580620872,3.722925215001326e-18,False,False,2.2231181998150774e-16,True
欠ける,30,1.8951,3,0.0492,1.8459,39.25305859626529,11.963777424477595,128.7889731222676,5.980768855770882e-18,False,False,3.4883182070403194e-16,True
搬送,24,1.5161,389,6.3781,-4.862,0.22597044114033946,0.14906408999522316,0.3425549390922787,7.491222215814841e-18,False,False,4.2699966630144596e-16,True
頬,6,0.379,243,3.9843,-3.6052,0.09168839099086404,0.040711243600416926,0.20649727935128628,8.846109847887778e-18,False,False,4.930231888556122e-16,True
保育,1,0.0632,181,2.9677,-2.9045,0.020667593297525336,0.002893240851214511,0.14763700454893244,2.3037647742542002e-17,False,False,1.2560526203977248e-15,True
救急,26,1.6425,390,6.3945,-4.752,0.24444444444444444,0.16370380848441438,0.36500730785039714,8.959510218906612e-17,False,False,4.780947155110167e-15,True
痕,0,0.0,158,2.5906,-2.5906,0.011836376512915626,0.0007366790735579856,0.19017753318124223,1.9621964909759097e-16,False,True,1.0252476665349128e-14,True
上顎,27,1.7056,3,0.0492,1.6564,35.25964010282777,10.682667892142804,116.37937570776263,5.315572670573178e-16,False,False,2.7207053587341896e-14,True
割れる,3,0.1895,189,3.0989,-2.9094,0.059373116335141654,0.01895256582286061,0.18599945655348696,1.1998262466252194e-15,False,False,6.018328453072101e-14,True
線,1,0.0632,164,2.689,-2.6258,0.022875489500786286,0.003200533219894,0.16350026197132062,1.449080438609774e-15,False,False,7.126066156928066e-14,True
視力,1,0.0632,162,2.6562,-2.593,0.023165706794025378,0.0032408997243193213,0.16558672495782473,2.2878828083847764e-15,False,False,1.1034634775825036e-13,True
外傷,4,0.2527,189,3.0989,-2.8462,0.07921429074057319,0.029379152398206404,0.21358355654655103,1.5704992724066587e-14,False,False,7.431721085275283e-13,True
関節,0,0.0,137,2.2463,-2.2463,0.01369233860550564,0.0008516240730241362,0.2201442425436307,1.9278007236581613e-14,False,True,8.953563360990127e-13,True
前輪,42,2.6532,24,0.3935,2.2597,6.898929266709929,4.165053420366532,11.42727841000376,3.219377399134023e-14,False,False,1.4680360940051144e-12,True
守備,79,4.9905,94,1.5412,3.4493,3.3555553983703033,2.4748186084282144,4.54972820762944,6.474908050125024e-14,False,False,2.899833819591707e-12,True
前額,1,0.0632,145,2.3774,-2.3143,0.0259557958062688,0.0036286718601086215,0.18566113495766856,8.793871633040767e-14,False,False,3.869303518537937e-12,True
蹴る,29,1.832,370,6.0666,-4.2346,0.2889509200320011,0.19718943201336314,0.4234133306985832,1.1096364797719204e-13,False,False,4.798221191841339e-12,True
れる,180,11.3708,1158,18.9867,-7.6159,0.5474205902230233,0.46283121171740227,0.6474699523572682,1.4630617004599216e-13,False,False,6.219252109751667e-12,True
欠損,55,3.4744,49,0.8034,2.671,4.444251522598568,3.011729763041374,6.558148688670497,2.5118194446529556e-13,False,False,1.0499405278649355e-11,True
減退,0,0.0,121,1.9839,-1.9839,0.015537025992065813,0.0009657188572291984,0.24996837834433683,7.932272292309211e-13,False,True,3.2613342473953276e-11,True
