順位,カテゴリ,サブカテゴリ,出現回数,出現事例数,事例出現率(%)
1,未分類,未分類,32297,1583,100.0
2,受傷部位,歯牙,798,746,47.1257
3,受傷部位,顎顔面,613,573,36.1971
4,原因物,スポーツ用具,734,527,33.2912
5,受傷機転,転倒,539,507,32.0278
6,原因物,乗り物,336,232,14.6557
7,衝突対象,床,206,189,11.9394
8,受傷機転,衝突,195,186,11.7498
9,行動,移動,171,152,9.602
10,受傷部位,下肢,153,142,8.9703
11,受傷部位,上肢,136,124,7.8332
12,受傷機転,滑走,118,112,7.0752
13,衝突対象,地面,106,101,6.3803
14,傷害結果,脱臼,89,89,5.6222
15,行動,球技,89,83,5.2432
16,受傷機転,接触,71,68,4.2956
17,傷害結果,欠損,55,55,3.4744
18,受傷機転,転落,55,54,3.4112
19,環境要因,路面,58,53,3.3481
20,受傷部位,頭部,48,48,3.0322
21,受傷機転,つまずき,45,44,2.7795
22,衝突対象,階段,64,43,2.7164
23,行動,乗車,45,39,2.4637
24,受傷部位,眼,43,34,2.1478
25,衝突対象,自転車部品,35,31,1.9583
26,受傷機転,切創,30,30,1.8951
27,原因物,遊具,42,27,1.7056
28,行動,昇降,32,27,1.7056
29,衝突対象,壁,28,25,1.5793
30,環境要因,天候,22,21,1.3266
31,傷害結果,骨折,19,18,1.1371
32,傷害結果,裂傷,15,15,0.9476
33,行動,運動,13,10,0.6317
34,受傷機転,挟圧,7,7,0.4422
35,衝突対象,柱,3,3,0.1895
