順位,品詞,基本形,出現回数,出現事例数,事例出現率(%)
1,名詞,前歯,764,721,45.5464
2,名詞,顔面,501,489,30.8907
3,名詞,部,551,485,30.638
4,名詞,練習,507,462,29.1851
5,名詞,歯,489,444,28.048
6,動詞,当たる,427,410,25.9002
7,名詞,ボール,506,402,25.3948
8,名詞,転倒,409,398,25.1421
9,名詞,負傷,375,373,23.5629
10,名詞,口,366,359,22.6785
11,名詞,強打,303,302,19.0777
12,名詞,試合,245,237,14.9716
13,名詞,自転車,293,216,13.645
14,名詞,本,255,215,13.5818
15,名詞,相手,267,211,13.3291
16,名詞,野球,209,205,12.9501
17,動詞,打つ,207,202,12.7606
18,動詞,加える,198,197,12.4447
19,名詞,歯科,197,197,12.4447
20,名詞,補綴,196,195,12.3184
21,名詞,床,206,189,11.9394
22,名詞,顔,189,183,11.5603
23,名詞,折,184,183,11.5603
24,動詞,れる,203,180,11.3708
25,動詞,破る,176,175,11.055
26,名詞,体育,172,169,10.6759
27,動詞,しまう,192,159,10.0442
28,名詞,場,162,157,9.9179
29,動詞,折れる,154,152,9.602
30,動詞,くる,155,149,9.4125
31,名詞,足,153,142,8.9703
32,名詞,運動,144,140,8.844
33,形容詞,強い,134,131,8.2754
34,動詞,ぶつかる,129,125,7.8964
35,動詞,ぶつける,127,125,7.8964
36,名詞,バランス,126,124,7.8332
37,名詞,時間,125,124,7.8332
38,名詞,手,135,123,7.7701
39,名詞,友人,171,121,7.6437
40,動詞,崩す,120,120,7.5805
41,動詞,走る,125,115,7.2647
42,名詞,バット,141,113,7.1383
43,動詞,滑る,118,112,7.0752
44,名詞,下校,109,108,6.8225
45,名詞,地面,106,101,6.3803
46,名詞,体育館,111,100,6.3171
47,名詞,ノック,108,100,6.3171
48,名詞,直撃,100,99,6.2539
49,名詞,２,105,95,6.0013
50,名詞,教室,104,95,6.0013
51,名詞,登校,93,90,5.6854
52,名詞,脱臼,89,89,5.6222
53,動詞,倒れる,92,87,5.4959
54,名詞,前方,87,87,5.4959
55,名詞,人,103,86,5.4327
56,名詞,打球,97,85,5.3696
57,名詞,口元,86,85,5.3696
58,名詞,守備,80,79,4.9905
59,名詞,３,88,78,4.9274
60,動詞,取る,83,78,4.9274
61,動詞,抜ける,78,77,4.8642
62,名詞,廊下,93,76,4.801
63,名詞,顎,85,76,4.801
64,動詞,飛ぶ,76,76,4.801
65,名詞,道路,83,75,4.7378
66,動詞,遊ぶ,76,75,4.7378
67,名詞,頭,77,74,4.6747
68,名詞,選手,79,72,4.5483
69,名詞,バスケットボール,72,71,4.4852
70,名詞,接触,71,68,4.2956
71,名詞,ソフトボール,68,68,4.2956
72,名詞,衝突,66,66,4.1693
73,動詞,捕る,72,65,4.1061
74,動詞,振る,66,63,3.9798
75,名詞,サッカー,64,62,3.9166
76,名詞,休憩,60,60,3.7903
77,動詞,行く,60,59,3.7271
78,動詞,打ちつける,58,58,3.6639
79,名詞,唇,56,56,3.5376
80,名詞,2,61,55,3.4744
81,動詞,投げる,58,55,3.4744
82,動詞,落ちる,56,55,3.4744
83,名詞,欠損,55,55,3.4744
84,名詞,球,57,53,3.3481
85,名詞,バッター,59,52,3.2849
86,動詞,持つ,55,52,3.2849
87,名詞,肘,51,50,3.1586
88,名詞,チーム,55,49,3.0954
89,名詞,膝,53,49,3.0954
90,動詞,つく,52,49,3.0954
91,動詞,出る,51,49,3.0954
92,名詞,出血,51,49,3.0954
93,名詞,口唇,50,49,3.0954
94,名詞,バッティング,55,48,3.0322
95,名詞,頭部,48,48,3.0322
96,名詞,終了,47,47,2.969
97,名詞,イレギュラー,46,46,2.9059
98,動詞,つまずく,45,44,2.7795
99,名詞,階段,64,43,2.7164
100,名詞,1,57,43,2.7164
101,名詞,１,51,43,2.7164
102,名詞,3,50,43,2.7164
103,名詞,近く,44,43,2.7164
104,動詞,られる,43,43,2.7164
105,名詞,体,43,43,2.7164
106,動詞,歩く,46,42,2.6532
107,名詞,前輪,43,42,2.6532
108,動詞,向かう,43,42,2.6532
109,動詞,ふざける,42,42,2.6532
110,名詞,途中,42,42,2.6532
111,名詞,状態,45,41,2.59
112,動詞,せる,43,41,2.59
113,動詞,追いかける,42,41,2.59
114,名詞,前のめり,41,41,2.59
115,名詞,後方,42,40,2.5268
116,動詞,乗る,45,39,2.4637
117,名詞,後ろ,42,39,2.4637
118,名詞,勢い,40,39,2.4637
119,動詞,折る,40,39,2.4637
120,動詞,かける,42,38,2.4005
121,名詞,横,41,38,2.4005
122,名詞,付近,40,38,2.4005
123,動詞,打ち付ける,38,38,2.4005
124,動詞,転ぶ,38,36,2.2742
125,名詞,下り坂,36,36,2.2742
126,名詞,ゲーム,36,35,2.211
127,名詞,イレギュラーバウンド,35,35,2.211
128,名詞,部分,35,34,2.1478
129,名詞,歯牙,34,34,2.1478
130,名詞,シュート,37,33,2.0846
131,名詞,治療,35,33,2.0846
132,動詞,立つ,35,33,2.0846
133,動詞,来る,34,33,2.0846
134,動詞,入る,33,33,2.0846
135,名詞,ネット,42,32,2.0215
136,名詞,ハンドル,35,31,1.9583
137,名詞,グラウンド,33,31,1.9583
138,名詞,段差,32,31,1.9583
139,名詞,バレーボール,31,31,1.9583
140,動詞,切れる,31,31,1.9583
141,名詞,準備,31,31,1.9583
142,名詞,目,39,30,1.8951
143,名詞,友達,36,30,1.8951
144,名詞,内,31,30,1.8951
145,動詞,切る,30,30,1.8951
146,動詞,欠ける,30,30,1.8951
147,名詞,部員,34,29,1.832
148,動詞,離れる,32,29,1.832
149,動詞,蹴る,31,29,1.832
150,名詞,打撲,30,29,1.832
151,名詞,移動,30,29,1.832
152,名詞,落下,30,29,1.832
153,動詞,避ける,30,29,1.832
154,名詞,ブレーキ,29,29,1.832
155,名詞,ゴール,36,28,1.7688
156,名詞,車,36,28,1.7688
157,動詞,見る,31,28,1.7688
158,名詞,キャッチャー,31,27,1.7056
159,名詞,素振り,29,27,1.7056
160,名詞,まま,27,27,1.7056
161,名詞,上顎,27,27,1.7056
162,名詞,損傷,27,27,1.7056
163,名詞,フライ,28,26,1.6425
164,名詞,救急,28,26,1.6425
165,名詞,コンクリート,27,26,1.6425
166,動詞,押す,27,26,1.6425
167,名詞,他校,26,26,1.6425
168,名詞,側,26,26,1.6425
169,名詞,大会,26,26,1.6425
170,名詞,祭,26,26,1.6425
171,動詞,誤る,26,26,1.6425
172,名詞,壁,28,25,1.5793
173,名詞,走行,27,25,1.5793
174,名詞,タイヤ,26,25,1.5793
175,名詞,隣,26,25,1.5793
176,名詞,ごと,25,25,1.5793
177,名詞,数,25,25,1.5793
178,名詞,転落,25,25,1.5793
179,名詞,鬼ごっこ,25,25,1.5793
180,名詞,階,35,24,1.5161
181,名詞,室,28,24,1.5161
182,名詞,歩道,27,24,1.5161
183,動詞,追う,26,24,1.5161
