全体順位,品詞,品詞別順位,基本形,出現回数,出現事例数,事例出現率(%),1事例当たり平均出現回数,対象事例数
1,動詞,1,する,3278,1428,90.2085,2.2955,1583
2,動詞,2,いる,1437,1049,66.2666,1.3699,1583
11,動詞,3,当たる,427,410,25.9002,1.0415,1583
26,動詞,4,打つ,207,202,12.7606,1.0248,1583
27,動詞,5,加える,198,197,12.4447,1.0051,1583
34,動詞,6,れる,203,180,11.3708,1.1278,1583
35,動詞,7,破る,176,175,11.055,1.0057,1583
39,動詞,8,しまう,192,159,10.0442,1.2075,1583
41,動詞,9,折れる,154,152,9.602,1.0132,1583
42,動詞,10,くる,155,149,9.4125,1.0403,1583
43,動詞,11,なる,160,146,9.223,1.0959,1583
50,動詞,12,ぶつかる,129,125,7.8964,1.032,1583
51,動詞,12,ぶつける,127,125,7.8964,1.016,1583
56,動詞,14,崩す,120,120,7.5805,1.0,1583
57,動詞,15,走る,125,115,7.2647,1.087,1583
60,動詞,16,滑る,118,112,7.0752,1.0536,1583
62,動詞,17,受ける,109,107,6.7593,1.0187,1583
71,動詞,18,行う,94,87,5.4959,1.0805,1583
72,動詞,18,倒れる,92,87,5.4959,1.0575,1583
77,動詞,20,ある,85,81,5.1169,1.0494,1583
80,動詞,21,取る,83,78,4.9274,1.0641,1583
81,動詞,22,抜ける,78,77,4.8642,1.013,1583
84,動詞,23,飛ぶ,76,76,4.801,1.0,1583
86,動詞,24,遊ぶ,76,75,4.7378,1.0133,1583
94,動詞,25,捕る,72,65,4.1061,1.1077,1583
95,動詞,26,振る,66,63,3.9798,1.0476,1583
98,動詞,27,行く,60,59,3.7271,1.0169,1583
99,動詞,28,打ちつける,58,58,3.6639,1.0,1583
102,動詞,29,投げる,58,55,3.4744,1.0545,1583
103,動詞,29,落ちる,56,55,3.4744,1.0182,1583
107,動詞,31,持つ,55,52,3.2849,1.0577,1583
112,動詞,32,つく,52,49,3.0954,1.0612,1583
114,動詞,32,出る,51,49,3.0954,1.0408,1583
123,動詞,34,つまずく,45,44,2.7795,1.0227,1583
129,動詞,35,られる,43,43,2.7164,1.0,1583
131,動詞,36,歩く,46,42,2.6532,1.0952,1583
133,動詞,36,向かう,43,42,2.6532,1.0238,1583
134,動詞,36,ふざける,42,42,2.6532,1.0,1583
137,動詞,39,せる,43,41,2.59,1.0488,1583
138,動詞,39,追いかける,42,41,2.59,1.0244,1583
142,動詞,41,乗る,45,39,2.4637,1.1538,1583
145,動詞,41,折る,40,39,2.4637,1.0256,1583
147,動詞,43,かける,42,38,2.4005,1.1053,1583
150,動詞,43,打ち付ける,38,38,2.4005,1.0,1583
151,動詞,45,転ぶ,38,36,2.2742,1.0556,1583
154,動詞,46,できる,35,35,2.211,1.0,1583
160,動詞,47,立つ,35,33,2.0846,1.0606,1583
161,動詞,47,来る,34,33,2.0846,1.0303,1583
162,動詞,47,入る,33,33,2.0846,1.0,1583
168,動詞,50,切れる,31,31,1.9583,1.0,1583
173,動詞,51,切る,30,30,1.8951,1.0,1583
174,動詞,51,欠ける,30,30,1.8951,1.0,1583
176,動詞,53,離れる,32,29,1.832,1.1034,1583
177,動詞,53,蹴る,31,29,1.832,1.069,1583
181,動詞,53,避ける,30,29,1.832,1.0345,1583
