入力ファイル,カテゴリ,Step2件数,Step1集計件数,差（Step2-Step1）,件数照合,列数,読込方法
Step2-10_傷害カテゴリ別解析_聴力障害抽出.csv,聴力障害,121,121,0,一致,15,通常読込
Step2-11_傷害カテゴリ別解析_足指切断・機能障害抽出.csv,足指切断・機能障害,28,28,0,一致,15,通常読込
Step2-12_傷害カテゴリ別解析_そしゃく機能障害抽出.csv,そしゃく機能障害,20,20,0,一致,15,通常読込
Step2-1_傷害カテゴリ別解析_歯牙障害抽出.csv,歯牙障害,1583,1583,0,一致,15,通常読込
Step2-2_傷害カテゴリ別解析_外貌・露出部分の醜状障害抽出.csv,外貌・露出部分の醜状障害,1841,1841,0,一致,15,構文復元読込
Step2-3_傷害カテゴリ別解析_視力・眼球運動障害抽出.csv,視力・眼球運動障害,1768,1768,0,一致,15,構文復元読込
Step2-4_傷害カテゴリ別解析_精神・神経障害抽出.csv,精神・神経障害,878,878,0,一致,15,通常読込
Step2-5_傷害カテゴリ別解析_手指切断・機能障害抽出.csv,手指切断・機能障害,503,503,0,一致,15,通常読込
Step2-6_傷害カテゴリ別解析_胸腹部臓器障害抽出.csv,胸腹部臓器障害,411,411,0,一致,15,構文復元読込
Step2-7_傷害カテゴリ別解析_上肢切断・機能障害抽出.csv,上肢切断・機能障害,217,217,0,一致,15,構文復元読込
Step2-8_傷害カテゴリ別解析_下肢切断・機能障害抽出.csv,下肢切断・機能障害,158,158,0,一致,15,通常読込
Step2-9_傷害カテゴリ別解析_せき柱障害抽出.csv,せき柱障害,154,154,0,一致,15,構文復元読込
